code,stadt,bundesland,behoerde_name,plz,ort,strasse,telefon,email
09671-,Aschaffenburg(Land),BY,LRA Aschaffenburg,63814,Mainaschaff,Am Glockenturm 6,06021-394-6300,zulassungsbehoerde@lra-ab.bayern.de
09661-,Aschaffenburg(Stadt),BY,Stadt Aschaffenburg,63739,Aschaffenburg,Dalbergstr. 15,06021-330-555,buergerservice@aschaffenburg.de
03454-e1,Aschendorf,NI,LK Emsland Nebenstelle,26871,Aschendorf,Grosse Str. 32,04962-501-3124,zulassung@emsland.de
15089-e1,Aschersleben,ST,LK Salzlandkreis Nebenstelle,06449,Aschersleben,Ermslebener Str. 77,03471-684-2002,kfz-zulassung@kreis-slk.de
14521-e1,Aue-Bad Schlema,SN,LRA Erzgebirgskreis Nebenstelle,08280,Aue,Wettinerstr. 64,03771-277-5395,zulassungsbehoerde@kreis-erz.de
09761-e1,Augsburg-Haunstetten,BY,Stadt Augsburg Nebenstelle,86179,Augsburg-Haunstetten,Tattenbachstr. 11,0821-324-9999,kfzzulassung@augsburg.bayern.de
09761-e2,Augsburg-Lechhausen,BY,Stadt Augsburg Nebenstelle,86167,Augsburg-Lechhausen,Neuburger Str. 20,0821-324-9999,kfzzulassung@augsburg.bayern.de
09761-,Augsburg-Zentrale,BY,Stadt Augsburg,86152,Augsburg,An der Blauen Kappe 18,0821-324-9999,kfzzulassung@augsburg.bayern.de
03452-,Aurich,NI,LK Aurich,26603,Aurich,Fischteichweg 7-13,04941-16-3671,rz@landkreis-aurich.de
08119-e1,Backnang,BW,LRA Rems-Murr-Kreis Nebenstelle,71522,Backnang,Erbstetter Str. 58,07191-895-4048,kfz-zulassung@rems-murr-kreis.de
09187-e1,Bad Aibling,BY,LRA Rosenheim Nebenstelle,83043,Bad Aibling,Krankenhausstr. 5,08061-3701-0,kfz.badaibling@lra-ro.bayern.de
06635-e1,Bad Arolsen,HE,LK Waldeck-Frankenberg Nebenstelle,34454,Bad Arolsen,Große Allee 24,05691-801-260,zulassungsbehoerde@bad-arolsen.de
05970-e1,Bad Berleburg,NW,LK Siegen-Wittgenstein Nebenstelle,57319,Bad Berleburg,Am Breitenbach 1,02751-9263-204,g.schneider@siegen-wittgenstein.de
09672-e1,Bad Brückenau,BY,LRA Bad Kissingen Nebenstelle,97769,Bad Brückenau,Sinnaustr. 14,0971-801-8200,zulassung@kg.de
13072-e1,Bad Doberan,MV,LK Rostock Nebenstelle,18209,Bad Doberan,Am Waldrand 3,03843-75565-500,info-kfz@lkros.de
07332-,Bad Dürkheim,RP,LK Bad Dürkheim,67098,Bad Dürkheim,Philipp-Fauth-Str. 11,06322-961-3301,zulassungsstelle@kreis-bad-duerkheim.de
07141-,Bad Ems,RP,LK Rhein-Lahn-Kreis,56130,Bad Ems,Insel Silberau 1,02603 972-121,referat35@rhein-lahn.rlp.de
03358-,Bad Fallingbostel,NI,LK Heidekreis,29683,Bad Fallingbostel,Vogteistr. 19,05162-970-500,Dienstleistungsbuero@heidekreis.de
06632-,Bad Hersfeld,HE,LK Hersfeld-Rotenburg,36251,Bad Hersfeld,An der Haune 8,06621-87-3430,zulassungsstelle@hef-rof.de
06632-e1,Bad Hersfeld,HE,LK Hersfeld-Rotenburg Nebenstelle,36251,Bad Hersfeld,Friedloser Str. 12,06621-87-0,buergerservice@hef-rof.de
06434-,Bad Homburg v.d.H,HE,LK Hochtaunuskreis,61352,Bad Homburg v. d. Höhe,Ludwig-Erhard-Anlage 1-5,06172-999-0,bis@hochtaunuskreis.de
09672-,Bad Kissingen,BY,LRA Bad Kissingen,97688,Bad Kissingen,Münchner Straße 5,0971-801-7200,zulassung@kg.de
09673-e1,Bad Königshofen,BY,LRA Rhön-Grabfeld Nebenstelle,97631,Bad Königshofen i.Gr.,Marktplatz 2,09761-395-818,kfz@rhoen-grabfeld.de
09372-e1,Bad Kötzting,BY,LRA Cham Nebenstelle,93444,Bad Kötzting,Herrenstr. 5,09941-904910,zulkoez@lra.landkreis-cham.de
07133-,Bad Kreuznach(Kreis),RP,LK Bad Kreuznach,55543,Bad Kreuznach,Industriestr. 36,0671-803-0,post@kreis-badkreuznach.de
07133-1,Bad Kreuznach(Stadt),RP,Stadt Bad Kreuznach,55543,Bad Kreuznach,Kornmarkt 5,0671-800-294,ordnungsamt@bad-kreuznach.de
12062-,Bad Liebenwerda,BB,LK Elbe-Elster,04924,Bad Liebenwerda,Riesaer Str. 17,035341-97-7622,stva@lkee.de
08128-e1,Bad Mergentheim,BW,LRA Main-Tauber-Kreis Nebenstelle,97980,Bad Mergentheim,Wachbacher Str. 52,07931-4827-6271,zulassungsstelle.mgh@main-tauber-kreis.de
07131-,Bad Neuenahr-Ahrweiler,RP,LK Ahrweiler,53474,Bad Neuenahr-Ahrweiler,Wilhelmstr. 24-30,02641-975-340,vl-kfz@kreis-ahrweiler.de
09673-,Bad Neustadt/Saale,BY,LRA Rhön-Grabfeld,97616,Bad Neustadt a.d.Saale,Siemensstr. 10,09771-94-650,kfz@rhoen-grabfeld.de
01062-,Bad Oldesloe,SH,LK Stormarn,23843,Bad Oldesloe,Rögen 36-38,04531-890210,zulassungsbehoerde@kreis-stormarn.de
09172-,Bad Reichenhall,BY,LRA Berchtesgadener Land,83435,Bad Reichenhall,Salzburger Str. 64,08651-773-377,kfz@lra-bgl.de
08337-e1,Bad Säckingen,BW,LRA Waldshut Nebenstelle,79713,Bad Säckingen,Am Buchrain 5,07751-86-2357,strassenverkehrsamt@landkreis-waldshut.de
05766-e1,Bad Salzuflen,NW,LK Lippe Nebenstelle,32107,Bad Salzuflen,Louis-Ueckermann-Weg 2,05231-62-1800,stva@kreis-lippe.de
16063-,Bad Salzungen,TH,LRA Wartburgkreis,36433,Bad Salzungen,Erzberger Allee 14,03695-61-6106,strassenverkehr@wartburgkreis.de
08437-e1,Bad Saulgau,BW,LRA Sigmaringen Nebenstelle,88348,Bad Saulgau,Kaiserstr. 58,07581-4809-400,kfz-zulassung@lrasig.de
06439-,Bad Schwalbach,HE,LK Rheingau-Taunus-Kreis,65307,Bad Schwalbach,Heimbacher Str. 7,06124-510-348,zulassung@rheingau-taunus.de
01060-,Bad Segeberg,SH,LK Segeberg,23795,Bad Segeberg,Waldemar-von-Mohl-Straße 2,04551-951-9415,zulassung@segeberg.de
09173-,Bad Tölz-Wolfratshausen,BY,LRA Bad Tölz-Wolfratshausen,83646,Bad Tölz,Prof.-Max-Lange-Platz 1,08041-505-253,zulassungsbehoerde@lra-toelz.de
08436-e1,Bad Waldsee,BW,LRA Ravensburg Nebenstelle,88339,Bad Waldsee,Robert-Koch-Straße 52,0751 85-1414,buergerbuero@rv.de
06635-e2,Bad Wildungen,HE,LK Waldeck-Frankenberg Nebenstelle,34537,Bad Wildungen,An den Ziegeleien 14,05621-961505,Kfz-Zulassungsbehoerde@bad-wildungen.de
09575-e1,Bad Windsheim,BY,LRA Neustadt a.d.Aisch Nebenstelle,91438,Bad Windsheim,Konrad-Adenauer-Str. 1,09161-92-3350,kfz-zulassung@lra-nea.bayern.de
03158-e1,Baddeckenstedt,NI,LK Wolfenbüttel Nebenstelle,38271,Baddeckenstedt,Heerer Str. 28,05345-498-64,-
08211-,Baden-Baden,BW,Stadt Baden-Baden,76532,Baden-Baden,Briegelackerstr. 21,07221-93-1837,kfzzulassung@baden-baden.de
08417-,Balingen,BW,LRA Zollernalbkreis,72336,Balingen,Richard-Strauß Str. 5,07433-92-1510,zula.balingen@zollernalbkreis.de
09471-,Bamberg(Land),BY,LRA Bamberg,96052,Bamberg,Ludwigstr. 23,0951-85-333,poststelle@lra-ba.bayern.de
09461-,Bamberg(Stadt),BY,Stadt Bamberg,96050,Bamberg,Moosstr. 65,0951-87-2220,zulassungsstelle@stadt.bamberg.de
05766-e2,Barntrup,NW,LK Lippe Nebenstelle,32683,Barntrup,Alverdisser Str. 28,05231 62-1800,stva@kreis-lippe.de
06635-e3,Battenberg,HE,LK Waldeck-Frankenberg Nebenstelle,35088,Battenberg,Hauptstr. 58,06452-934430,p.hallenberger@battenberg-eder.de
06633-e1,Baunatal,HE,LK Kassel Nebenstelle,34225,Baunatal,Harzweg 15,0561-115,Kfz-zulassung-baunatal@kassel.de
14625-e1,Bautzen,SN,LK Bautzen Nebenstelle,02625,Bautzen,Tzschirnerstr. 14a,03591-5251-36210,kfz-zulassung@lra-bautzen.de
09472-,Bayreuth,BY,LRA Bayreuth,95448,Bayreuth,Markgrafenallee 5,0921-728-0,kfz-zulassungsstelle@lra-bt.bayern.de
09462-,Bayreuth(Stadt),BY,Stadt Bayreuth,95445,Bayreuth,Dr.-Franz-Str. 4,0921-25-1417,zulassungsbehoerde@stadt.bayreuth.de
05570-e1,Beckum,NW,LK Warendorf Nebenstelle,59269,Beckum,Auf dem Tigge 21a,02581-9362-0,zulassungsbehoerde@kreis-warendorf.de
09176-e1,Beilngries,BY,LRA Eichstätt Nebenstelle,92339,Beilngries,Hauptstr. 24,08421 70-4004,zulassung@lra-ei.bayern.de
03456-,Bentheim,NI,LK Grafschaft Bentheim,48529,Nordhorn,Van-Delden-Str. 1-7,05921-96-1142,zulassungsstelle@grafschaft.de
13073-e1,Bergen,MV,LK Vorpommern-Rügen Nebenstelle,18528,Bergen auf Rügen,Störtebeckerstr. 30,03831-357-1000,FD45@lk-vr.de
05362-,Bergheim,NW,LK Rhein-Erft-Kreis,50126,Bergheim,Willy-Brandt-Platz 1,02271-83-0,zulassung@rhein-erft-kreis.de
05378-,Bergisch-Gladbach,NW,LK Rheinisch-Bergischer-Kreis,51469,Bergisch-Gladbach,Am Rübezahlwald 7,02202-132099,zulassung@rbk-online.de
06431-,Bergstraße,HE,LK Bergstraße,64646,Heppenheim,Benzstr. 1,06252-150,kfz.zulassung@kreis-bergstrasse.de
11000-e1,Berlin-Hohenschönhausen,BE,Landesamt für Bürger-und Ordnungsangelegenheiten Nebenstelle,13055,Berlin,Ferdinand-Schultze-Str. 55,030-90269-3300,post.kfz-zulassung@labo.berlin.de
11000-,Berlin-Tempelhof,BE,Landesamt für Bürger- und Ordnungsangelegenheiten,10965,Berlin,Jüterboger Str. 3,030-90269-3300,post.kfz-zulassung@labo.berlin.de
15089-,Bernburg (Saale),ST,LK Salzlandkreis,06400,Bernburg (Saale),Kalistraße 11,03471-684-2000,kfz-zulassung@kreis-slk.de
07231-e1,Bernkastel-Kues,RP,LK Bernkastel-Wittlich Nebenstelle,54470,Bernkastel-Kues,Gestade 18,06531-54-250,zulassungsbehoerde@bernkastel-wittlich.de
08118-e1,Besigheim,BW,LRA Ludwigsburg Nebenstelle,74354,Besigheim,Kronenstraße 1,07141-144-2068,KFZ.FAHRERLAUBNIS.BESIGHEIM@landkreis-ludwigsburg.de
08426-,Biberach,BW,LK Biberach,88400,Biberach,Rollinstr. 9,07351-52-0,zulassungsbehoerde@biberach.de
06534-e1,Biedenkopf,HE,LK Marburg-Biedenkopf Nebenstelle,35203,Biedenkopf,Kiesackerstr. 12,06461-79-3245,kfz-zulassung@marburg-biedenkopf.de
05711-,Bielefeld,NW,Stadt Bielefeld,33602,Bielefeld,Paulusstr. 8,0521-51-0,kfz.zulassungsbehoerde@bielefeld.de
07134-,Birkenfeld,RP,LK Birkenfeld,55765,Birkenfeld,Feckwailerhaide 15,06782-153-40,kfz-zulassung@landkreis-birkenfeld.de
07232-,Bitburg-Prüm,RP,LK Eifelkreis Bitburg-Prüm,54634,Bitburg,Triererstr. 1,06561-15-1501,zulassungsstelle@bitburg-pruem.de
15082-e1,Bitterfeld,ST,LK Anhalt-Bitterfeld Nebenstelle,06749,Bitterfeld-Wolfen,Röhrenstr. 33,03493-341-363,zulassung@anhalt-bitterfeld.de
08115-,Böblingen,BW,LRA Böblingen,71034,Böblingen,Parkstr. 16,07031-663-1425,zulassung@lrabb.de
05554-e2,Bocholt,NW,LK Borken Nebenstelle,46395,Bocholt,Kaiser-Wilhelm-Str. 52-53,02861 681 1330,zulassungsstelle@kreis-borken.de
05911-,Bochum,NW,Stadt Bochum,44777,Bochum,Bulksmühle 17,0234-910-8282,zulassungen@bochum.de
08435-,Bodenseekreis,BW,LRA Bodenseekreis,88045,Friedrichshafen,Glärnischstr. 1-3,07541-204-0,kfz.zulassung@bodenseekreis.de
13076-e1,Boizenburg,MV,LK Ludwigslust-Parchim Nebenstelle,19258,Boizenburg,Kirchenplatz 6,03871-115,Buergerservice@kreis-lup.de
05314-,Bonn,NW,Stadt Bonn,53103,Bonn,Berliner Platz 2,0228-77-2735,kfz-zulassung@bonn.de
90069-,Bonn (THW),NW,Beschaffungsamt des Bundesministerium des Innern,53119,Bonn,Brühler Str. 3,022899-610-2815,poststelle@bescha.bund.de
08136-e1,Bopfingen,BW,LRA Ostalbkreis Nebenstelle,73341,Bopfingen,Nördlinger Str. 7,07362-9222-20,zulassungsstelle@ostalbkreis.de
07140-e1,Boppard,RP,LK Rhein-Hunsrück-Kreis Nebenstelle,56154,Boppard,Heerstr. 189-191,06742-3305,zulassung@rheinhunsrueck.de
05554-,Borken,NW,LK Borken,46325,Borken,Burloer Str. 93,02861-82-2059,zulassungsstelle@kreis-borken.de
14729-,Borna,SN,LK Leipzig,04552,Borna,Stauffenbergstr. 4,03433-241-2055,zulassung@lk-l.de
05512-,Bottrop,NW,Stadt Bottrop,46236,Bottrop,Händelstr. 9,02041-7041-31,kfz-zulassungsstelle@bottrop.de
03461-,Brake,NI,LK Wesermarsch,26919,Brake,Poggenburger Str. 15,04401-927-224,zulassung@wesermarsch.de
03459-e1,Bramsche,NI,LK Osnabrück Nebenstelle,49565,Bramsche,Hasestr. 11,05461-83-189,info@stadt-bramsche.de
12051-,Brandenburg,BB,Stadt Brandenburg an der Havel,14770,Brandenburg a.d.Havel,Friedrich-Franz-Str. 19,03381-58-3250,zulassungsbehoerde@stadt-brandenburg.de
12072-1,Brandenburg Polizei,BB,Zentraldienst der Polizei des Landes Brandenburg,15806,Zossen OT Waldstadt,Am Baruther Tor 20,033702-91-0,olaf.gliese@polizei.brandenburg.de
03101-,Braunschweig,NI,Stadt Braunschweig,38112,Braunschweig,Porschestr. 5,0531-470-7500,zulassungsstelle@braunschweig.de
04011-e1,Bremen-Nord,HB,Stadt Bremen-Nord Nebenstelle,28757,Bremen,Gerhard-Rohlfs-Straße 62,0421-361-88668,bscnord@buergeramt.bremen.de
04011-,Bremen-Stadt,HB,Stadt Bremen,28207,Bremen,Stresemannstr. 48,0421-361-88668,zentralekfz-zulassungsbehoerde@buergeramt.bremen.de
04012-,Bremerhaven,HB,Stadt Bremerhaven-Nord,27576,Bremerhaven,Hinrich-Schmalfeldt-Str. 30,0471-590-3470,buergerbuero-nord@magistrat.bremerhaven.de
03357-e1,Bremervörde,NI,LK Rotenburg (Wümme) Nebenstelle,27432,Bremervörde,Amtsallee 7,04761-983-4404,zulassungsbehoerde-bremervoerde@lk-row.de
08215-e1,Bretten,BW,LRA Karlsruhe Nebenstelle,75015,Bretten,Am Seedamm 8/1,07252-86389,kfz.zulassung@landratsamt-karlsruhe.de
05958-e2,Brilon,NW,Hochsauerlandkreis Nebenstelle,59929,Brilon,Am Rothaarsteig 1,02961-940,kfz-zulassung-bri@hochsauerlandkreis.de
08215-e2,Bruchsal,BW,LRA Karlsruhe Nebenstelle,76646,Bruchsal,Orbinstr. 24,07251-783-113,kfz.zulassung@landratsamt-karlsruhe.de
08225-e1,Buchen,BW,LRA Neckar-Odenwald-Kreis Nebenstelle,74722,Buchen,Henry-Dunant-Str. 6,06281-5212-1351,strassenverkehrsbehoerde@neckar-odenwald-kreis.de
06440-e1,Büdingen,HE,LK Wetteraukreis Nebenstelle,63654,Büdingen,Eberhard-Bauner-Allee 16,06042-884-144,info@wetteraukreis.de
08216-e1,Bühl,BW,LRA Rastatt Nebenstelle,77815,Bühl,Im Hasengarten 1,07223-9814-3260,amt32-kfz@landkreis-rastatt.de
06413-1,Bundesfinanzdir.Südwest,HE,Generalzolldirektion,63069,Offenbach a.Main,Friedrichsring 35,0228 303-16474,kfz-zulassung@zoll.bund.de
15086-,Burg,ST,LK Jerichower Land,39288,Burg,Bahnhofstraße 9,03921-949-3695,FB-Ordnung@lkjl.de
03359-e1,Buxtehude,NI,LK Stade Nebenstelle,21614,Buxtehude,Ostmoorweg 3,04161-7152-0,strassenverkehrsamt@landkreis-stade.de
08235-,Calw,BW,LRA Calw,75365,Calw,Vogteistr. 42 - 46,07051-160 805,14.info@kreis-calw.de
03351-,Celle,NI,LK Celle,29221,Celle,Speicherstr.2,05141-916-1515,zulassungsstelle@lkcelle.de
09372-,Cham,BY,LRA Cham,93413,Cham,Rachelstr. 6,09971-78-242,zulassungsstelle@lra.landkreis-cham.de
14511-,Chemnitz,SN,Stadt Chemnitz,09111,Chemnitz,Düsseldorfer Platz 1,0371-488-8343,kfzzulassungsbehoerde@stadt-chemnitz.de
03453-,Cloppenburg,NI,LK Cloppenburg,49661,Cloppenburg,Eschstr. 29,04471-15-101,zulassung@lkclp.de
09473-,Coburg(Land),BY,Zweckverband Zulassungsstelle Coburg,96450,Coburg,Wilhelm-Ruß-Str. 5,09561-514-9550,zulassung@zulassungsstelle-coburg.bayern.de
09473-1,Coburg(Stadt),BY,Zweckverband Zulassungsstelle Coburg,96450,Coburg,Wilhelm-Ruß-Str. 5,09561-514-9550,zulassung@zulassungsstelle-coburg.bayern.de
07135-,Cochem-Zell,RP,LK Cochem-Zell,56812,Cochem,Endertplatz 2,02671-61105,zulassungsbehoerde@cochem-zell.de
12052-,Cottbus,BB,Stadt Cottbus,03044,Cottbus,Karl-Marx-Str. 69,0355-612-4751,kfz-zulassung@cottbus.de
08127-e1,Crailsheim,BW,LRA Schwäbisch Hall Nebenstelle,74564,Crailsheim,In den Kistenwiesen 2,07951-492-9996,zulassungsstelle@lrasha.de
03352-,Cuxhaven,NI,LK Cuxhaven,27474,Cuxhaven,Vincent-Lübeck-Str. 2,04721-662277,zulassung@landkreis-cuxhaven.de
09174-,Dachau,BY,LRA Dachau,85221,Dachau,Rudolf-Diesel-Str. 20,08131-74-300,Zulassung@lra-dah.bayern.de
12061-,Dahme-Spreewald,BB,LK Dahme-Spreewald,15711,Königs Wusterhausen,Fontaneplatz 10c,03375-262-660,strassenverkehrsamt@dahme-spreewald.de
06432-,Darmstadt,HE,LK Darmstadt-Dieburg,64389,Darmstadt,Jägertorstr. 207,06071-881-0,kfz-zulassung@ladadi.de
06411-,Darmstadt,HE,Stadt Darmstadt,64285,Darmstadt,Rüdesheimer Str. 119 / Gebäude,06151-132246,zulassung-stadt@darmstadt.de
06432-e1,Darmstadt-Dieburg,HE,LK Darmstadt-Dieburg Nebenstelle,64807,Pfungstadt,Borngasse 17,06071-881-2465,kfz-zulassung@ladadi.de
07233-,Daun,RP,LK Vulkaneifel,54550,Daun,Mainzer Str. 25,06592-933-0,kfz-zulassung@vulkaneifel.de
09271-,Deggendorf,BY,LRA Deggendorf,94469,Deggendorf,Herrenstr. 18,0991-3100-0,zulassungsstelle@lra-deg.bayern.de
14730-e1,Delitzsch,SN,LRA Nordsachsen Nebenstelle,04509,Delitzsch,Richard-Wagner-Str. 7 A,034202-988-5143,christian.noack@lra-nordsachsen.de
03401-,Delmenhorst,NI,Stadt Delmenhorst,27749,Delmenhorst,Am Stadtwall / City Center,04221-99-2280,zulassungsbehoerde@delmenhorst.de
13071-e1,Demmin,MV,LK Mecklenburgische Seenplatte Nebenstelle,17109,Demmin,Adolf-Pompe-Str. 12-15,0395-57087-4700,buergerbuero-dm@lk-seenplatte.de
15001-,Dessau-Roßlau,ST,Stadt Dessau-Roßlau,06844,Dessau-Roßlau,Ferd.-von-Schill-Str. 8,0340-204-1339,kfz-zulassungsstelle@dessau-rosslau.de
05766-,Detmold,NW,LK Lippe,32756,Detmold,Felix-Fechenbach-Str. 5,05231-62-1800,stva@kreis-lippe.de
06432-e2,Dieburg,HE,LK Darmstadt-Dieburg Nebenstelle,64807,Dieburg,Frankfurter Str. 115,06071-881-2470,kfz-zulassung@ladadi.de
03251-,Diepholz,NI,LK Diepholz,49356,Diepholz,Niedersachsenstr. 2,05441-976-3333,zulassung@diepholz.de
06438-,Dietzenbach,HE,LK Offenbach,63128,Dietzenbach,Werner-Hilpert-Str. 1,06074-8180-0,zulassungsbehoerde@kreis-offenbach.de
06532-e1,Dietzhölztal,HE,Gem. Dietzhölztal,35716,Dietzhölztal,Hauptstraße 92,02774-807-18,buergerservice@dietzhoelztal.de
07141-e1,Diez,RP,LK Rhein-Lahn-Kreis Nebenstelle,65582,Diez,Wilhelmstr. 42a,06432-9261-17,kvbadems@rhein-lahn.rlp.de
09773-,Dillingen a.d. Donau,BY,LRA Dillingen a.d. Donau,89407,Dillingen a.d.Donau,Große Allee 25,09071-51-122,poststelle@landratsamt.dillingen.de
09279-,Dingolfing-Landau,BY,LRA Dingolfing-Landau,84130,Dingolfing,Obere Stadt 1,08731-87-400,info@landkreis-dingolfing-landau.de
09571-e1,Dinkelsbühl,BY,LRA Ansbach Nebenstelle,91550,Dinkelsbühl,Luitpoldstr. 5a,09851-851,zulassung@lra-an.bayern.de
01051-,Dithmarschen,SH,LK Dithmarschen,25746,Heide,Stettiner Str. 30,0481-97-0,fd-strassenverkehr@dithmarschen.de
14522-e1,Döbeln,SN,LK Mittelsachsen Nebenstelle,04720,Döbeln,Straße des Friedens 9a,03731-7996633,kfz.zulassung@landkreis-mittelsachsen.de
08326-e1,Donaueschingen,BW,LRA Schwarzwald-Baar-Kreis Nebenstelle,78166,Donaueschingen,Humboldtstr. 11,07721-913-5005,zulassungsstelle@lrasbk.de
09779-,Donauwörth,BY,LRA Donau-Ries,86609,Donauwörth,Pflegstr. 2,0906-74 1222,zulassungsbehoerde@lra-donau-ries.de
05162-e1,Dormagen,NW,LK Rhein-Kreis Neuss Nebenstelle,41540,Dormagen,Kieler Str. 26,02131-928-9090,strassenverkehrsamt@rhein-kreis-neuss.de
05913-,Dortmund,NW,Stadt Dortmund,44137,Dortmund,Südwall 2-4,0231-50-13332,buergerdienste@stadtdo.de
14612-,Dresden (Stadt),SN,Stadt Dresden,01239,Dresden,Hauboldstr. 7,0351-488-8008,kfz-zulassung@dresden.de
07338-e1,Dudenhofen,RP,LK Rhein-Pfalz-Kreis Nebenstelle,67373,Dudenhofen,Konrad-Adenauer-Platz 6,0621-5909-610,kfz-zulassung@kv-rpk.de
03159-e1,Duderstadt,NI,LK Göttingen Nebenstelle,37115,Duderstadt,Bostalstr. 9,05527-997-290,zulassungsbehoerde@landkreisgoettingen.de
05112-,Duisburg,NW,Stadt Duisburg,47167,Duisburg- Neumühl,Theodor-Heuss-Straße 80,0203 -283 4848,zulassung@stadt-duisburg.de
05558-,Dülmen,NW,LK Coesfeld,48249,Dülmen,Kreuzweg 27,02594-9436-3632,kfz.zulassung@kreis-coesfeld.de
05358-,Düren,NW,LK Düren,52351,Düren,Kölner Landstr. 271,02421-221030900,sva@kreis-dueren.de
05111-,Düsseldorf,NW,Stadt Düsseldorf,40233,Düsseldorf,Höherweg 101,0211-89-90144,zulassungsstelle@duesseldorf.de
09674-e1,Ebern,BY,LRA Haßberge Nebenstelle,96106,Ebern,Rittergasse 3,09531-941-169,zulassung.ebern@lra-has.bayern.de
09175-,Ebersberg,BY,LRA Ebersberg,85560,Ebersberg,Kolpingstr. 1,08092-823-341,zulassung@lra-ebe.bayern.de
12060-,Eberswalde,BB,LK Barnim,16225,Eberswalde,Am Markt 1,03334-214-1466,kfz-fe@kvbarnim.de
01058-e2,Eckernförde,SH,LK Rendsburg-Eckernförde Nebenstelle,24340,Eckernförde,Rendsburger Str. 109,04351-6667-60,zulassungsbehoerde@kreis-rd.de
08425-e1,Ehingen,BW,LK Alb-Donau-Kreis Nebenstelle,89584,Ehingen,Hauptstr. 41,07391-779-2412,zulassungsstelle.ehingen@alb-donau-kreis.de
